Model,Variable,KS,Wasserstein,JSD
Full model,PEP,0.1317339284607278,0.053024164439503974,0.12484979441431478
Full model,PD,0.13861508895914698,75.13676236870195,0.15743063729724954
Full model,NDVI,0.1396689603868328,0.006390779337773402,0.17605851632418687
Full model,NMBPC,0.0760027276672246,0.4454293267886968,0.10901591532098663
Full model,WS,0.08164403942718988,0.042830478427473825,0.147737585282119
Full model,POVSI,0.10402330915628294,0.30129217018116566,0.1626180478523346
Full model,PM10,0.1112764242762383,9.114422072687917,0.12948447692098103
Full model,O3,0.1194594259500341,1.97301537024983,0.18962465391150113
Full model,PTB,0.09999380075630773,1.0732641354000922,0.12116073137854891
CTGAN,PEP,0.3102721467980906,0.1763225271877549,0.21106942786283603
CTGAN,PD,0.37809187279151946,512.8666135553729,0.22305259489511353
CTGAN,NDVI,0.13898704358068315,0.008046900102844774,0.22398531357448842
CTGAN,NMBPC,0.32806397619490424,3.608932355592583,0.1732077775695075
CTGAN,WS,0.12993614778996962,0.08252899732927299,0.19363607974230945
CTGAN,POVSI,0.15702684272518752,0.5816512530856979,0.20280017488289753
CTGAN,PM10,0.43915442316037445,40.404577122227685,0.23833663808491135
CTGAN,O3,0.404438658483665,14.285885738074597,0.2350813445133797
CTGAN,PTB,0.15653090322980595,1.4381048705808268,0.14234219385803576
TVAE,PEP,0.08747132849792326,0.08805891487722721,0.10976965847260753
TVAE,PD,0.19075072841113383,259.3694379949709,0.14333810356024568
TVAE,NDVI,0.11834356208542558,0.007115815319344895,0.1899466159277537
TVAE,NMBPC,0.07711859153183312,0.5967550433197126,0.12033212644957123
TVAE,WS,0.13006013266381503,0.0804559452270192,0.1887270244430408
TVAE,POVSI,0.1640939805343748,0.5837849179571114,0.17616147734879548
TVAE,PM10,0.15944454776517264,12.869285533361833,0.14013290818696963
TVAE,O3,0.27859401153059327,6.774765463019029,0.20721383974087954
TVAE,PTB,0.1423966276114314,1.6308740469284773,0.11464155893220418
GReaT,PEP,0.13557745954993491,0.08766215443648098,0.11453472450891139
GReaT,PD,0.11840555452234827,85.30805968576126,0.13497351776856942
GReaT,NDVI,0.1898828342942161,0.011923394913658548,0.14150017236550078
GReaT,NMBPC,0.08059016799950407,0.48441819019588417,0.13142743122221162
GReaT,WS,0.14456636290372574,0.0900977995027487,0.15083898011089375
GReaT,POVSI,0.11096646209162482,0.32344267229531054,0.1497855054459985
GReaT,PM10,0.120699274688488,4.6158621893673395,0.10495940571996158
GReaT,O3,0.15702684272518752,4.246685243748102,0.12873085067847767
GReaT,PTB,0.11146240158700639,1.4476158227844267,0.1378611878512585
w/o conditional node,PEP,0.06180645961192734,0.04511082066715738,0.09296579023509954
w/o conditional node,PD,0.13495753518070797,72.66929948364657,0.16472036840221269
w/o conditional node,NDVI,0.12702250325460293,0.005826172806467141,0.2020291872464597
w/o conditional node,NMBPC,0.10017977806707581,0.5730446814367431,0.12793483135659942
w/o conditional node,WS,0.097700080590168,0.04271046075246863,0.17638044497715638
w/o conditional node,POVSI,0.09943586882400347,0.2466958121456473,0.1583601728139773
w/o conditional node,PM10,0.08852519992560907,5.9336457832179885,0.137216154755908
w/o conditional node,O3,0.1561589486082698,2.7261638789158913,0.1512938900320533
w/o conditional node,PTB,0.08939309404252681,0.9466904427127132,0.12175503726399985
w/o graph module,PEP,0.18659723513731324,0.11035592335332137,0.16486802810458812
w/o graph module,PD,0.11710371334697167,74.3990685787701,0.18691136670581793
w/o graph module,NDVI,0.12702250325460293,0.0068146078976386295,0.16440528517906358
w/o graph module,NMBPC,0.10427127890397371,0.6780028402025676,0.1108341358765215
w/o graph module,WS,0.07036141590725932,0.028756878600813145,0.15945537131576032
w/o graph module,POVSI,0.1736408158204699,0.7435509869291306,0.24600912045616813
w/o graph module,PM10,0.192548509081892,16.012521745784515,0.2011867282596978
w/o graph module,O3,0.16080838137747194,3.081301385208971,0.21406680482696377
w/o graph module,PTB,0.16378401834976133,1.5136298115835345,0.17068817068556857
w/o learnable adjacency,PEP,0.11592585704544045,0.049651662028291854,0.08991305358652557
w/o learnable adjacency,PD,0.13123798896534622,97.77688272665503,0.16523229714896492
w/o learnable adjacency,NDVI,0.12045130494079723,0.007755703531059236,0.17494444676812382
w/o learnable adjacency,NMBPC,0.1287582914884384,0.7494174566370017,0.10648784700181078
w/o learnable adjacency,WS,0.09460045874403322,0.04702180496529397,0.16588262875448972
w/o learnable adjacency,POVSI,0.14444237802988036,0.45333976549325095,0.19910099041708942
w/o learnable adjacency,PM10,0.14152873349451367,7.992576385341023,0.12743652553860235
w/o learnable adjacency,O3,0.1602504494451677,3.0711197467917692,0.15062272193864412
w/o learnable adjacency,PTB,0.08232595623333953,0.8206056953474163,0.1292943440618604
w/o node-level loss,PEP,0.09119087471328498,0.05292818138510866,0.08741501145530792
w/o node-level loss,PD,0.16322608641745706,101.34626229799183,0.16868202327239767
w/o node-level loss,NDVI,0.11288822763622838,0.00675196642420184,0.17424405148904315
w/o node-level loss,NMBPC,0.10005579319323042,0.5091207311657564,0.11057065000187297
w/o node-level loss,WS,0.09862996714400843,0.045373825388118474,0.15444595734117894
w/o node-level loss,POVSI,0.10284545285475172,0.39786318078471766,0.19843119303332174
w/o node-level loss,PM10,0.0814580621164218,7.2635547159535605,0.13950052452015196
w/o node-level loss,O3,0.13588742173454837,2.8912006662189165,0.16497530876160058
w/o node-level loss,PTB,0.1262785940115306,1.2768620405362094,0.13310291870777985
